NAME                                   SERVICE   AVAILABLE   AGE
v1.                                    Local     True        8h
v1.apps                                Local     True        8h
v1.authentication.k8s.io               Local     True        8h
v1.authorization.k8s.io                Local     True        8h
v1.autoscaling                         Local     True        8h
v1.batch                               Local     True        8h
v1.networking.k8s.io                   Local     True        8h
v1.rbac.authorization.k8s.io           Local     True        8h
v1.storage.k8s.io                      Local     True        8h
v1beta1.admissionregistration.k8s.io   Local     True        8h
v1beta1.apiextensions.k8s.io           Local     True        8h
v1beta1.apps                           Local     True        8h
v1beta1.authentication.k8s.io          Local     True        8h
v1beta1.authorization.k8s.io           Local     True        8h
v1beta1.batch                          Local     True        8h
v1beta1.certificates.k8s.io            Local     True        8h
v1beta1.coordination.k8s.io            Local     True        8h
v1beta1.events.k8s.io                  Local     True        8h
v1beta1.extensions                     Local     True        8h
v1beta1.policy                         Local     True        8h
v1beta1.rbac.authorization.k8s.io      Local     True        8h
v1beta1.scheduling.k8s.io              Local     True        8h
v1beta1.storage.k8s.io                 Local     True        8h
v1beta2.apps                           Local     True        8h
v2beta1.autoscaling                    Local     True        8h
v2beta2.autoscaling                    Local     True        8h
